symbol,interval,price,buyAmount,gainProfit,gainAmount,totalAmount,startDate,endDate,avgDate,volume,quoteVolume
BTCUSDT,30M,null,500,0.888400034,4.442000169,504.4420002,7/16/2021 9:05,7/17/2021 19:50,1 days 10:45:00,862550.68,1021829.359
BTCUSDT,30M,null,500,0.88364516,4.418225798,504.4182258,8/17/2021 19:10,8/18/2021 15:45,0 days 20:35:00,2998312.67,6090084.763
BTCUSDT,30M,null,500,0.87177317,4.358865848,504.3588658,7/16/2021 9:15,7/18/2021 0:35,1 days 15:20:00,1397888.73,1652311.35
BTCUSDT,30M,null,500,0.861226705,4.306133526,504.3061335,8/24/2021 13:35,8/24/2021 19:00,0 days 05:25:00,11069328.12,30518659.01
BTCUSDT,30M,null,500,0.837714999,4.188574993,504.188575,7/19/2021 13:40,7/19/2021 21:15,0 days 07:35:00,3364474.05,3773001.211
BTCUSDT,30M,null,500,0.834226236,4.17113118,504.1711312,7/12/2021 18:10,7/13/2021 7:35,0 days 13:25:00,376043.7,491796.7452
BTCUSDT,30M,null,500,0.801781737,4.008908686,504.0089087,7/19/2021 14:20,7/19/2021 21:15,0 days 06:55:00,1816673.45,2038008.452
BTCUSDT,30M,null,500,0.791928835,3.959644174,503.9596442,8/24/2021 13:55,8/24/2021 19:00,0 days 05:05:00,2351489.33,6501906.602
BTCUSDT,30M,null,500,0.771286751,3.856433753,503.8564338,7/12/2021 18:05,7/12/2021 23:15,0 days 05:10:00,248190.12,325272.6104
BTCUSDT,30M,null,500,0.769675508,3.848377538,503.8483775,8/24/2021 13:30,8/24/2021 19:05,0 days 05:35:00,9026176.77,25056611.48
BTCUSDT,30M,null,500,0.748205833,3.741029165,503.7410292,7/12/2021 17:35,7/12/2021 23:15,0 days 05:40:00,423868.07,554873.3207
BTCUSDT,30M,null,500,0.747663551,3.738317757,503.7383178,7/19/2021 15:00,7/19/2021 21:20,0 days 06:20:00,696184.66,781884.6698
BTCUSDT,30M,null,500,0.744353183,3.721765914,503.7217659,7/16/2021 10:30,7/17/2021 16:25,1 days 05:55:00,604348.01,708128.1545
BTCUSDT,30M,null,500,0.740514543,3.702572715,503.7025727,7/12/2021 17:50,7/12/2021 23:15,0 days 05:25:00,280303.04,366921.0815
BTCUSDT,30M,null,500,0.703097188,3.515485938,503.5154859,7/19/2021 14:30,7/19/2021 21:15,0 days 06:45:00,1399829.94,1568544.236
BTCUSDT,30M,null,500,0.684053014,3.420265071,503.4202651,7/16/2021 11:15,7/17/2021 16:25,1 days 05:10:00,541109.5,632352.6896
BTCUSDT,30M,null,500,0.675444596,3.377222982,503.377223,7/16/2021 11:25,7/17/2021 16:25,1 days 05:00:00,292781.52,342311.5969
BTCUSDT,30M,null,500,0.674042054,3.370210272,503.3702103,7/8/2021 7:30,7/8/2021 17:30,0 days 10:00:00,1401106.04,1911523.422
BTCUSDT,30M,null,500,0.660813745,3.304068725,503.3040687,7/20/2021 3:15,7/20/2021 15:30,0 days 12:15:00,6391339.67,6782138.733
BTCUSDT,30M,null,500,0.658232176,3.291160882,503.2911609,7/16/2021 11:35,7/17/2021 16:25,1 days 04:50:00,479592.55,560741.798
BTCUSDT,30M,null,500,0.632959658,3.164798292,503.1647983,7/12/2021 16:40,7/12/2021 23:15,0 days 06:35:00,830494.03,1089887.596
BTCUSDT,30M,null,500,0.631447883,3.157239417,503.1572394,7/19/2021 14:00,7/19/2021 21:15,0 days 07:15:00,3124391.38,3514240.946
BTCUSDT,30M,null,500,0.62835249,3.141762452,503.1417625,7/12/2021 19:20,7/13/2021 7:10,0 days 11:50:00,418268.27,546156.1162
BTCUSDT,30M,null,500,0.622817779,3.114088893,503.1140889,7/20/2021 3:35,7/20/2021 15:30,0 days 11:55:00,1737917.85,1836938.055
BTCUSDT,30M,null,500,0.620879963,3.104399816,503.1043998,7/12/2021 18:30,7/13/2021 7:15,0 days 12:45:00,738156.05,963443.8467
BTCUSDT,30M,null,500,0.599004471,2.995022357,502.9950224,7/16/2021 8:45,7/17/2021 19:50,1 days 11:05:00,2302289.68,2726621.444
BTCUSDT,30M,null,500,0.594965675,2.974828375,502.9748284,7/12/2021 17:15,7/13/2021 7:30,0 days 14:15:00,243987.18,319991.8376
BTCUSDT,30M,null,500,0.589812332,2.949061662,502.9490617,7/12/2021 18:20,7/13/2021 7:10,0 days 12:50:00,315140.85,411287.0514
BTCUSDT,30M,null,500,0.586718819,2.933594097,502.9335941,7/19/2021 14:10,7/19/2021 21:15,0 days 07:05:00,1205476.08,1356472.913
BTCUSDT,30M,null,500,0.563938424,2.81969212,502.8196921,7/12/2021 17:20,7/12/2021 23:15,0 days 05:55:00,136098.03,178672.4852
BTCUSDT,30M,null,500,0.542029501,2.710147503,502.7101475,7/19/2021 13:30,7/19/2021 21:15,0 days 07:45:00,2400006.59,2705277.379
BTCUSDT,30M,null,500,0.541014768,2.705073841,502.7050738,7/8/2021 7:25,7/8/2021 17:35,0 days 10:10:00,575387.87,787941.6215
BTCUSDT,30M,null,500,0.532907008,2.664535039,502.664535,7/19/2021 13:35,7/19/2021 21:20,0 days 07:45:00,1009319.44,1136672.07
BTCUSDT,30M,null,500,0.505127813,2.525639063,502.5256391,7/12/2021 18:40,7/13/2021 7:10,0 days 12:30:00,166576.64,217548.9031
BTCUSDT,30M,null,500,0.477159498,2.385797488,502.3857975,8/8/2021 17:10,8/9/2021 8:35,0 days 15:25:00,1656072.25,2361943.509
BTCUSDT,30M,null,500,0.470191625,2.350958126,502.3509581,7/19/2021 14:05,7/19/2021 21:25,0 days 07:20:00,999301.85,1124236.56
BTCUSDT,30M,null,500,0.46440807,2.32204035,502.3220404,7/12/2021 16:10,7/12/2021 23:15,0 days 07:05:00,1540512.39,2030550.556
BTCUSDT,30M,null,500,0.451311864,2.256559321,502.2565593,7/12/2021 17:55,7/13/2021 7:10,0 days 13:15:00,371982.73,486950.0574
BTCUSDT,30M,null,500,0.43382297,2.169114849,502.1691148,7/12/2021 16:55,7/12/2021 23:15,0 days 06:20:00,300547.53,395300.5486
BTCUSDT,30M,null,500,0.426179604,2.130898021,502.130898,7/12/2021 16:20,7/12/2021 23:15,0 days 06:55:00,543832.52,715046.4622
BTCUSDT,30M,null,500,0.41218035,2.06090175,502.0609017,7/16/2021 8:55,7/17/2021 19:55,1 days 11:00:00,538430.7,640083.7252
BTCUSDT,30M,null,500,0.400750341,2.003751705,502.0037517,7/16/2021 10:20,7/17/2021 16:25,1 days 06:05:00,665192.83,781060.0597
BTCUSDT,30M,null,500,0.391705069,1.958525346,501.9585253,8/2/2021 20:50,8/3/2021 12:55,0 days 16:05:00,449864.7,586095.4993
BTCUSDT,30M,null,500,0.366518923,1.832594613,501.8325946,7/16/2021 10:45,7/17/2021 16:25,1 days 05:40:00,1670900.72,1970619.016
BTCUSDT,30M,null,500,0.365203418,1.826017092,501.8260171,7/8/2021 7:20,7/8/2021 17:30,0 days 10:10:00,353281.73,484046.7216
BTCUSDT,30M,null,500,0.342605433,1.713027164,501.7130272,7/14/2021 1:10,7/14/2021 9:00,0 days 07:50:00,2039680.21,2505957.51
